date,datatype,station,value
2018-01-15,TMIN,GHCND:USR0000CCRE,25.0
2018-01-15,TMAX,GHCND:USR0000CDGR,52.0
2018-01-15,TMIN,GHCND:USR0000CDGR,36.0
2018-01-15,TMAX,GHCND:USR0000CHAY,48.0
2018-01-15,TMIN,GHCND:USR0000CHAY,29.0
2018-01-15,TMAX,GHCND:USR0000CHNM,59.0
2018-01-15,TMIN,GHCND:USR0000CHNM,33.0
2018-01-15,TMAX,GHCND:USR0000CSNL,55.0
2018-01-15,TMIN,GHCND:USR0000CSNL,46.0
2018-01-15,PRCP,GHCND:USS0019L39S,0.0
2018-01-15,TMAX,GHCND:USS0019L39S,60.0
2018-01-15,TMIN,GHCND:USS0019L39S,31.0
2018-01-16,PRCP,GHCND:US1CAAL0012,0.01
2018-01-16,PRCP,GHCND:US1CALA0046,0.0
2018-01-16,PRCP,GHCND:US1CAMP0008,0.0
2018-01-16,PRCP,GHCND:US1CASC0057,0.0
2018-01-16,PRCP,GHCND:US1CASD0053,0.0
2018-01-16,PRCP,GHCND:USC00041697,0.0
2018-01-16,TMAX,GHCND:USC00041697,59.0
2018-01-16,TMIN,GHCND:USC00041697,40.0
2018-01-16,TMAX,GHCND:USR0000CBAR,56.0
2018-01-16,TMIN,GHCND:USR0000CBAR,51.0
2018-01-16,TMAX,GHCND:USR0000CCRE,50.0
2018-01-16,TMIN,GHCND:USR0000CCRE,28.0
2018-01-16,TMAX,GHCND:USR0000CDGR,48.0
2018-01-16,TMIN,GHCND:USR0000CDGR,34.0
2018-01-16,TMAX,GHCND:USR0000CHAY,54.0
2018-01-16,TMIN,GHCND:USR0000CHAY,42.0
2018-01-16,TMAX,GHCND:USR0000CHNM,52.0
2018-01-16,TMIN,GHCND:USR0000CHNM,35.0
2018-01-16,TMAX,GHCND:USR0000CSNL,56.0
2018-01-16,TMIN,GHCND:USR0000CSNL,47.0
2018-01-16,PRCP,GHCND:USS0019L39S,0.0
2018-01-16,TMAX,GHCND:USS0019L39S,53.0
2018-01-16,TMIN,GHCND:USS0019L39S,32.0
2018-01-17,PRCP,GHCND:US1CAAL0012,0.0
2018-01-17,PRCP,GHCND:US1CALA0046,0.0
2018-01-17,PRCP,GHCND:US1CAMP0008,0.0
2018-01-17,PRCP,GHCND:US1CASC0057,0.0
2018-01-17,PRCP,GHCND:US1CASD0053,0.0
2018-01-17,PRCP,GHCND:USC00041697,0.0
2018-01-17,TMAX,GHCND:USC00041697,57.0
2018-01-17,TMIN,GHCND:USC00041697,39.0
2018-01-17,TMAX,GHCND:USR0000CBAR,56.0
2018-01-17,TMIN,GHCND:USR0000CBAR,48.0
2018-01-17,TMAX,GHCND:USR0000CCRE,55.0
2018-01-17,TMIN,GHCND:USR0000CCRE,25.0
2018-01-17,TMAX,GHCND:USR0000CDGR,54.0
2018-01-17,TMIN,GHCND:USR0000CDGR,38.0
2018-01-17,TMAX,GHCND:USR0000CHAY,59.0
2018-01-17,TMIN,GHCND:USR0000CHAY,39.0
2018-01-17,TMAX,GHCND:USR0000CHNM,56.0
2018-01-17,TMIN,GHCND:USR0000CHNM,33.0
2018-01-17,TMAX,GHCND:USR0000CSNL,54.0
2018-01-17,TMIN,GHCND:USR0000CSNL,52.0
2018-01-17,PRCP,GHCND:USS0019L39S,0.0
2018-01-17,TMAX,GHCND:USS0019L39S,59.0
2018-01-17,TMIN,GHCND:USS0019L39S,33.0
2018-01-18,PRCP,GHCND:US1CAAL0012,0.0
2018-01-18,PRCP,GHCND:US1CALA0046,0.0
2018-01-18,PRCP,GHCND:US1CAMP0008,0.0
2018-01-18,PRCP,GHCND:US1CASC0057,0.0
2018-01-18,PRCP,GHCND:US1CASD0053,0.0
2018-01-18,PRCP,GHCND:USC00041697,0.0
2018-01-18,TMAX,GHCND:USC00041697,64.0
2018-01-18,TMIN,GHCND:USC00041697,41.0
2018-01-18,TMAX,GHCND:USR0000CBAR,55.0
2018-01-18,TMIN,GHCND:USR0000CBAR,47.0
2018-01-18,TMAX,GHCND:USR0000CCRE,51.0
2018-01-18,TMIN,GHCND:USR0000CCRE,31.0
