latitude,longitude,date,common_name,place_guess,year,month,dayofweek
40.13262,-123.82924,2015-05-09,American Black Bear,"Redway, CA",2015,5,5
40.13257,-123.82903,2015-05-09,American Black Bear,"Redway, CA",2015,5,5
40.13248,-123.82894,2015-05-09,American Black Bear,"Redway, CA",2015,5,5
40.13377,-123.82962,2015-05-09,American Black Bear,"Redway, CA",2015,5,5
37.72879,-119.60883,2015-05-19,California Black Bear,"Glacier Point, Yosemite National Park",2015,5,1
41.32978,-124.01294,2015-05-27,American Black Bear,Lost man creek,2015,5,2
37.57002,-120.15584,2014-11-08,American Black Bear,"Mariposa County, US-CA, US",2014,11,5
34.22269,-118.14888,2015-05-13,American Black Bear,angeles national forest,2015,5,2
34.22439,-118.13446,2015-05-13,American Black Bear,angeles national forest,2015,5,2
34.20168,-118.04245,2015-05-13,American Black Bear,angeles national forest,2015,5,2
36.96584,-118.92501,2015-06-09,American Black Bear,"John Muir Wilderness, Sierra NF CA",2015,6,1
41.21694,-124.01389,2015-05-27,American Black Bear,"Redwood National Park, Humboldt County, US-CA, US",2015,5,2
36.55605,-118.74787,2015-06-07,American Black Bear,"Crescent Meadow, Sequoia National Park, California, USA",2015,6,6
36.55605,-118.74787,2015-06-07,American Black Bear,"Crescent Meadow, Sequoia National Park, California, USA",2015,6,6
36.55888,-118.74272,2015-06-07,American Black Bear,"Log Meadow, Sequoia National Park, California, USA",2015,6,6
39.82567,-121.1132,2010-10-17,American Black Bear,"California, United States",2010,10,6
37.84992,-119.56305,2015-06-04,American Black Bear,yosemite ,2015,6,3
37.84992,-119.56305,2015-06-04,American Black Bear,yosemite ,2015,6,3
37.73233,-119.76944,2015-06-04,American Black Bear,yosemite crane creek,2015,6,3
36.48637,-118.56575,2015-06-04,American Black Bear,sequoia national,2015,6,3
36.55416,-118.76182,2015-06-05,American Black Bear,meadows sequoia national park,2015,6,4
40.13364,-124.18993,2012-11-23,American Black Bear,"California, United States",2012,11,4
36.5486,-118.76397,2015-06-23,California Black Bear,Sequoia Park,2015,6,1
38.50797,-122.63048,2015-06-23,American Black Bear,"5718–5798 Erland Rd, Santa Rosa, CA, US",2015,6,1
37.67297,-119.65243,2015-06-21,American Black Bear,"Summit Meadow, Yosemite National Park",2015,6,6
34.21709,-118.17603,2015-06-27,American Black Bear,Gabrieleno Trail,2015,6,5
41.30528,-123.99209,2015-06-30,American Black Bear,"California, US",2015,6,1
37.66792,-119.59789,2015-06-26,California Black Bear,Yosemite NP--Glacier Point Rd,2015,6,4
40.13027,-123.82924,2015-06-23,American Black Bear,"Redway, CA",2015,6,1
40.13432,-123.83256,2015-03-29,American Black Bear,"Redway, CA",2015,3,6
40.1324,-123.829,2015-03-29,American Black Bear,"Redway, CA",2015,3,6
40.13373,-123.8286,2015-06-14,American Black Bear,"Redway, CA",2015,6,6
34.16646,-117.70366,2015-07-12,California Black Bear,"Angeles National Forest, Valyermo, CA, US",2015,7,6
38.49527,-119.78799,2015-07-15,American Black Bear,,2015,7,2
38.48263,-119.82755,2015-07-16,American Black Bear,"Alpine County, Stanislaus National Forest, US-CA, US",2015,7,3
39.23485,-120.25176,2015-07-15,American Black Bear,"Upper Pole Creek, CA",2015,7,2
39.5907,-120.33777,2015-07-08,American Black Bear,"UC Natural Reserve System, US-CA, US",2015,7,2
40.13419,-123.83093,2015-03-29,American Black Bear,"Redway, CA",2015,3,6
40.13133,-123.83462,2015-06-22,American Black Bear,"Redway, CA",2015,6,0
36.56244,-118.75149,2015-07-12,California Black Bear,"giant forest, sequoia national park",2015,7,6
37.74404,-119.57522,2015-06-28,California Black Bear,,2015,6,6
36.43332,-118.68362,2015-05-19,California Black Bear,Sequoia National Park,2015,5,1
36.43332,-118.68362,2015-05-14,California Black Bear,Sequoia National Park,2015,5,3
34.06843,-117.87312,2015-06-30,California Black Bear,"Los Angeles County, US-CA, US",2015,6,1
34.02741,-117.93021,2015-07-26,California Black Bear,"Los Angeles County, US-CA, US",2015,7,6
40.13522,-123.82991,2015-07-26,American Black Bear,"Redway, CA",2015,7,6
40.13582,-123.82989,2015-07-26,American Black Bear,"Redway, CA",2015,7,6
40.13621,-123.83034,2015-07-26,American Black Bear,"Redway, CA",2015,7,6
37.75748,-119.54164,2007-09-27,American Black Bear,"Yosemite National Park, Mariposa County, California, US",2007,9,3
37.74317,-119.55776,2007-09-24,American Black Bear,"Yosemite National Park, Mariposa County, California, US",2007,9,0
37.74904,-119.54728,2007-09-25,American Black Bear,"Yosemite National Park, Mariposa County, California, US",2007,9,1
34.18767,-118.0442,2015-08-11,California Black Bear,,2015,8,1
40.35187,-124.01384,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
34.72983,-120.05739,2015-08-06,American Black Bear,Pine Needle Valley,2015,8,3
40.35172,-124.01308,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
40.35174,-124.01272,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
40.35177,-124.01264,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
40.35516,-124.00968,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
40.35178,-124.0137,2015-08-12,American Black Bear,"Humboldt Redwoods State Park, Weott, CA",2015,8,2
34.65122,-119.16676,2015-07-04,American Black Bear,"Ventura County, US-CA, US",2015,7,5
40.13251,-123.82897,2015-08-20,American Black Bear,"Redway, CA",2015,8,3
40.13143,-123.83885,2015-08-22,American Black Bear,"Redway, CA",2015,8,5
34.27341,-117.20901,2015-07-10,American Black Bear,"Lake Arrowhead, CA 92352",2015,7,4
40.13632,-123.82968,2015-08-24,American Black Bear,"Redway, CA",2015,8,0
40.13096,-123.83824,2015-08-22,American Black Bear,"Redway, CA",2015,8,5
34.26653,-118.14192,2015-09-02,California Black Bear,"Angeles MRCA Open Space, Los Angeles County, US-CA, US",2015,9,2
40.13584,-123.82991,2015-08-23,American Black Bear,"Redway, CA",2015,8,6
40.13116,-123.83153,2015-09-05,American Black Bear,"Redway, CA",2015,9,5
40.13044,-123.83232,2015-09-05,American Black Bear,"Redway, CA",2015,9,5
40.13586,-123.82995,2015-08-23,American Black Bear,"Redway, CA",2015,8,6
40.13002,-123.82549,2015-09-01,American Black Bear,"Redway, CA",2015,9,1
40.1306,-123.8321,2015-09-05,American Black Bear,"Redway, CA",2015,9,5
40.13618,-123.83034,2015-08-24,American Black Bear,"Redway, CA",2015,8,0
37.76773,-119.77098,2015-09-07,American Black Bear,tamarack flat yosemite,2015,9,0
37.47681,-119.6339,2015-09-14,American Black Bear,"Fish camp, ca",2015,9,0
39.2508,-120.40208,2007-07-14,American Black Bear,"North Fork American River, CA",2007,7,5
39.20359,-120.42698,2009-07-29,American Black Bear,"North Fork American River, CA",2009,7,2
37.48136,-119.6283,2015-09-04,American Black Bear,"Sierra National Forest, Fish Camp, CA, US",2015,9,4
37.72904,-119.61026,2009-08-31,American Black Bear,"Yosemite,California",2009,8,0
38.07018,-119.4763,2015-09-19,American Black Bear,"Rock Island Lake, Yosemite N.P.",2015,9,5
40.49766,-121.42065,2015-06-28,California Black Bear,Lassen Volcanic National Park,2015,6,6
39.27695,-120.27335,2015-08-28,American Black Bear,"Placer, California, United States",2015,8,4
40.13238,-123.82779,2015-09-27,American Black Bear,"Redway, CA",2015,9,6
38.93528,-120.05199,2015-10-10,California Black Bear,"Taylor Creek, Lake Tahoe, CA",2015,10,5
37.7326,-119.60045,2015-06-30,American Black Bear,"Yosemite National Park, Yosemite National Park, CA, US",2015,6,1
40.13225,-123.82751,2015-10-01,American Black Bear,"Redway, CA",2015,10,3
36.48637,-118.56575,2015-09-06,American Black Bear,sequoia national forest,2015,9,6
38.75984,-121.02651,2015-11-11,American Black Bear,"Pine Hill Ecological Reserve, CA, US",2015,11,2
